id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
369,ES_Balance,2030,3,1,6,5.742
370,ES_Balance,2030,3,7,12,8.873999999999999
371,ES_Balance,2030,3,13,18,5.742
372,ES_Balance,2030,3,19,24,8.873999999999999
373,ES_Balance,2030,4,1,6,0.0
374,ES_Balance,2030,4,7,12,0.0
375,ES_Balance,2030,4,13,18,0.0
376,ES_Balance,2030,4,19,24,0.0
377,ES_Balance,2030,5,1,6,5.5224
378,ES_Balance,2030,5,7,12,10.296000000000001
379,ES_Balance,2030,5,13,18,5.5224
380,ES_Balance,2030,5,19,24,10.296000000000001
381,ES_Balance,2030,6,1,6,0.0
382,ES_Balance,2030,6,7,12,0.0
383,ES_Balance,2030,6,13,18,0.0
384,ES_Balance,2030,6,19,24,0.0
385,ES_Balance,2030,7,1,6,3.9294000000000002
386,ES_Balance,2030,7,7,12,3.9294000000000002
387,ES_Balance,2030,7,13,18,0.0
388,ES_Balance,2030,7,19,24,3.9294000000000002
389,ES_Balance,2030,8,1,6,3.2922000000000002
390,ES_Balance,2030,8,7,12,3.2922000000000002
391,ES_Balance,2030,8,13,18,0.0
392,ES_Balance,2030,8,19,24,31.174289126582178
393,ES_Balance,2030,9,1,6,4.5666
394,ES_Balance,2030,9,7,12,8.514000000000001
395,ES_Balance,2030,9,13,18,1.5086817809933846
396,ES_Balance,2030,9,19,24,4.5666
397,ES_Balance,2030,10,1,6,0.0
398,ES_Balance,2030,10,7,12,4.8852
399,ES_Balance,2030,10,13,18,0.0
400,ES_Balance,2030,10,19,24,4.8852
401,FI_Balance,2030,1,1,6,10.494
402,FI_Balance,2030,1,7,12,25.30795514230118
403,FI_Balance,2030,1,13,18,10.494
404,FI_Balance,2030,1,19,24,16.79557721615487
405,FI_Balance,2030,2,1,6,0.0
406,FI_Balance,2030,2,7,12,0.0
407,FI_Balance,2030,2,13,18,0.0
408,FI_Balance,2030,2,19,24,0.0
409,FI_Balance,2030,3,1,6,0.0
410,FI_Balance,2030,3,7,12,0.0
411,FI_Balance,2030,3,13,18,0.0
412,FI_Balance,2030,3,19,24,0.0
413,FI_Balance,2030,4,1,6,0.0
414,FI_Balance,2030,4,7,12,0.0
415,FI_Balance,2030,4,13,18,0.0
416,FI_Balance,2030,4,19,24,0.0
417,FI_Balance,2030,5,1,6,0.0
418,FI_Balance,2030,5,7,12,0.0
419,FI_Balance,2030,5,13,18,0.0
420,FI_Balance,2030,5,19,24,0.0
421,FI_Balance,2030,6,1,6,1.9116
422,FI_Balance,2030,6,7,12,1.9116
423,FI_Balance,2030,6,13,18,0.0
